Date,USD
22/08/2022,79.8703
19/08/2022,79.7528
18/08/2022,79.6667
17/08/2022,79.4335
11/08/2022,79.4881
10/08/2022,79.5033
08/08/2022,79.5785
05/08/2022,79.1158
04/08/2022,79.5427
03/08/2022,78.8427
02/08/2022,78.6082
01/08/2022,79.1690
29/07/2022,79.4203
28/07/2022,79.7434
27/07/2022,79.8967
26/07/2022,79.7948
25/07/2022,79.8488
22/07/2022,79.9101
21/07/2022,79.9763
20/07/2022,79.9738
19/07/2022,79.9478
18/07/2022,79.8958
15/07/2022,79.8797
14/07/2022,79.8710
13/07/2022,79.6592
12/07/2022,79.6401
11/07/2022,79.4098
08/07/2022,79.2499
07/07/2022,79.0235
06/07/2022,79.3320
05/07/2022,79.0790
04/07/2022,78.9866
01/07/2022,79.0940
30/06/2022,78.9421
29/06/2022,78.9376
28/06/2022,78.6966
27/06/2022,78.2890
24/06/2022,78.3308
23/06/2022,78.2662
22/06/2022,78.2115
21/06/2022,78.0861
20/06/2022,77.9960
17/06/2022,78.0875
16/06/2022,78.0864
15/06/2022,78.0755
14/06/2022,78.0015
13/06/2022,78.1430
10/06/2022,77.8400
09/06/2022,77.7870
08/06/2022,77.7251
07/06/2022,77.7239
06/06/2022,77.6718
03/06/2022,77.5994
02/06/2022,77.5883
01/06/2022,77.5554
31/05/2022,77.6641
30/05/2022,77.5115
27/05/2022,77.6592
26/05/2022,77.6262
25/05/2022,77.5137
24/05/2022,77.6352
23/05/2022,77.5890
20/05/2022,77.5829
19/05/2022,77.6999
18/05/2022,77.5716
17/05/2022,77.6510
13/05/2022,77.3543
12/05/2022,77.5868
11/05/2022,77.2641
10/05/2022,77.3537
09/05/2022,77.3679
06/05/2022,76.7470
05/05/2022,76.0887
04/05/2022,76.4841
02/05/2022,76.4346
29/04/2022,76.4242
28/04/2022,76.6167
27/04/2022,76.6414
26/04/2022,76.5612
25/04/2022,76.7366
22/04/2022,76.3279
21/04/2022,76.2091
20/04/2022,76.4183
19/04/2022,76.2797
18/04/2022,76.3737
13/04/2022,76.2248
12/04/2022,76.1127
24/07/2018,69.0530
09/07/2018,68.6573
06/07/2018,68.8757
05/07/2018,68.7545
04/07/2018,68.5312
03/07/2018,68.6935
02/07/2018,68.6227
29/06/2018,68.5753
28/06/2018,68.9389
27/06/2018,68.5246
26/06/2018,68.1676
25/06/2018,68.1466
22/06/2018,67.7695
21/06/2018,68.1950
20/06/2018,68.0838
19/06/2018,68.1511
18/06/2018,68.0248
15/06/2018,67.9739
14/06/2018,67.6875
13/06/2018,67.6251
12/06/2018,67.4571
11/06/2018,67.3353
08/06/2018,67.5228
07/06/2018,67.0181
06/06/2018,67.0397
05/06/2018,67.1794
04/06/2018,67.0543
01/06/2018,67.1840
31/05/2018,67.4526
30/05/2018,67.6288
29/05/2018,67.8201
28/05/2018,67.4430
25/05/2018,68.2600
24/05/2018,68.3872
23/05/2018,68.2139
22/05/2018,68.0187
21/05/2018,68.0883
18/05/2018,67.9577
17/05/2018,67.7156
16/05/2018,67.8276
15/05/2018,67.5288
14/05/2018,67.3153
11/05/2018,67.2203
10/05/2018,67.3786
09/05/2018,67.3815
08/05/2018,67.0809
07/05/2018,67.1060
04/05/2018,66.7681
03/05/2018,66.6093
02/05/2018,66.6636
27/04/2018,66.7801
26/04/2018,66.8299
25/04/2018,66.6983
24/04/2018,66.3622
23/04/2018,66.2177
20/04/2018,66.0167
19/04/2018,65.7837
18/04/2018,65.6814
17/04/2018,65.6124
16/04/2018,65.4476
13/04/2018,65.2226
12/04/2018,65.3496
11/04/2018,65.1272
10/04/2018,64.9368
09/04/2018,64.9287
06/04/2018,64.9884
05/04/2018,65.0601
04/04/2018,65.0232
03/04/2018,65.0240
28/03/2018,65.0441
27/03/2018,64.7973
26/03/2018,64.9055
23/03/2018,65.1333
22/03/2018,65.0622
21/03/2018,65.2162
20/03/2018,65.1993
19/03/2018,65.0375
16/03/2018,64.8737
15/03/2018,64.9366
14/03/2018,64.9875
13/03/2018,64.9567
12/03/2018,65.0199
09/03/2018,65.0784
08/03/2018,64.9212
07/03/2018,64.9627
06/03/2018,64.9941
05/03/2018,65.0530
01/03/2018,65.2261
28/02/2018,65.1031
27/02/2018,64.8514
26/02/2018,64.6639
23/02/2018,64.8227
22/02/2018,65.0458
21/02/2018,64.8161
20/02/2018,64.5254
16/02/2018,63.9097
15/02/2018,63.9222
14/02/2018,64.1259
12/02/2018,64.2838
09/02/2018,64.3686
08/02/2018,64.1616
07/02/2018,64.1377
06/02/2018,64.2723
05/02/2018,64.0295
02/02/2018,64.0781
01/02/2018,63.6113
31/01/2018,63.6878
30/01/2018,63.7534
29/01/2018,63.5470
25/01/2018,63.4983
24/01/2018,63.6439
23/01/2018,63.7722
22/01/2018,63.8895
19/01/2018,63.7183
18/01/2018,63.8431
17/01/2018,63.9797
16/01/2018,63.7602
15/01/2018,63.4125
12/01/2018,63.5263
11/01/2018,63.7364
10/01/2018,63.8264
09/01/2018,63.4690
08/01/2018,63.3482
05/01/2018,63.3823
04/01/2018,63.3914
03/01/2018,63.4833
02/01/2018,63.6728
01/01/2018,63.6697
29/12/2017,63.9273
28/12/2017,64.1716
27/12/2017,64.1577
26/12/2017,64.0538
22/12/2017,64.0409
21/12/2017,64.0883
20/12/2017,64.0577
19/12/2017,64.1205
18/12/2017,64.1065
15/12/2017,64.0958
14/12/2017,64.2798
13/12/2017,64.4525
12/12/2017,64.4834
11/12/2017,64.3616
08/12/2017,64.4649
07/12/2017,64.5388
06/12/2017,64.4467
05/12/2017,64.3764
04/12/2017,64.3799
30/11/2017,64.4332
29/11/2017,64.4058
28/11/2017,64.4206
27/11/2017,64.6948
24/11/2017,64.7328
23/11/2017,64.7949
22/11/2017,64.7453
21/11/2017,65.0386
20/11/2017,65.0565
17/11/2017,64.8462
16/11/2017,65.2969
15/11/2017,65.3689
14/11/2017,65.5171
13/11/2017,65.4272
10/11/2017,65.0147
09/11/2017,64.8967
08/11/2017,65.0592
07/11/2017,64.8064
06/11/2017,64.7267
03/11/2017,64.5764
02/11/2017,64.5930
01/11/2017,64.5256
31/10/2017,64.7745
30/10/2017,64.9338
27/10/2017,65.0931
26/10/2017,64.7888
25/10/2017,65.1386
24/10/2017,64.9256
23/10/2017,65.0239
18/10/2017,65.0649
17/10/2017,64.9226
16/10/2017,64.7603
13/10/2017,64.9301
12/10/2017,65.1003
11/10/2017,65.2691
10/10/2017,65.2652
09/10/2017,65.3074
06/10/2017,65.2276
05/10/2017,65.1758
04/10/2017,65.2899
03/10/2017,65.5529
29/09/2017,65.3552
28/09/2017,65.7604
27/09/2017,65.6947
26/09/2017,65.3371
25/09/2017,64.8357
22/09/2017,64.9596
21/09/2017,64.5256
20/09/2017,64.3637
19/09/2017,64.1769
18/09/2017,64.0371
15/09/2017,64.0774
14/09/2017,64.0692
13/09/2017,63.9818
12/09/2017,63.9474
11/09/2017,63.8859
08/09/2017,63.8664
07/09/2017,64.0276
06/09/2017,64.2146
05/09/2017,64.1164
04/09/2017,64.0468
01/09/2017,63.9804
31/08/2017,64.0154
30/08/2017,63.9431
29/08/2017,64.0174
28/08/2017,63.8701
24/08/2017,64.0676
23/08/2017,64.1272
22/08/2017,64.1099
21/08/2017,64.0285
18/08/2017,64.1048
16/08/2017,64.2428
14/08/2017,64.0253
11/08/2017,64.1693
10/08/2017,63.9437
09/08/2017,63.7491
08/08/2017,63.7382
07/08/2017,63.7375
04/08/2017,63.7091
03/08/2017,63.6314
02/08/2017,64.0690
01/08/2017,64.0683
31/07/2017,64.0773
28/07/2017,64.1483
27/07/2017,64.1216
26/07/2017,64.4208
25/07/2017,64.3580
24/07/2017,64.4494
21/07/2017,64.3185
20/07/2017,64.4273
19/07/2017,64.3211
18/07/2017,64.3301
17/07/2017,64.3666
14/07/2017,64.4539
13/07/2017,64.4384
12/07/2017,64.4969
11/07/2017,64.5025
10/07/2017,64.5405
07/07/2017,64.7342
06/07/2017,64.7779
05/07/2017,64.7209
04/07/2017,64.8168
03/07/2017,64.7525
30/06/2017,64.7379
29/06/2017,64.4715
28/06/2017,64.5288
27/06/2017,64.4572
23/06/2017,64.5365
22/06/2017,64.4950
21/06/2017,64.6025
20/06/2017,64.4672
19/06/2017,64.3788
16/06/2017,64.5883
15/06/2017,64.2801
14/06/2017,64.3141
13/06/2017,64.4453
12/06/2017,64.3407
09/06/2017,64.2584
08/06/2017,64.3554
07/06/2017,64.4538
06/06/2017,64.3516
05/06/2017,64.3485
02/06/2017,64.4208
01/06/2017,64.4704
31/05/2017,64.5459
30/05/2017,64.6336
29/05/2017,64.5565
26/05/2017,64.5945
25/05/2017,64.5088
24/05/2017,64.8586
23/05/2017,64.7751
22/05/2017,64.5632
19/05/2017,64.9906
18/05/2017,64.3441
17/05/2017,64.0214
16/05/2017,64.0758
15/05/2017,64.1188
12/05/2017,64.3043
11/05/2017,64.4380
09/05/2017,64.5065
08/05/2017,64.2154
05/05/2017,64.3079
04/05/2017,64.2115
03/05/2017,64.1439
02/05/2017,64.2072
28/04/2017,64.2170
27/04/2017,64.1141
26/04/2017,64.0013
25/04/2017,64.2776
24/04/2017,64.4757
21/04/2017,64.5701
20/04/2017,64.6364
19/04/2017,64.5443
18/04/2017,64.5657
17/04/2017,64.4053
13/04/2017,64.3165
12/04/2017,64.6920
11/04/2017,64.5438
10/04/2017,64.4418
07/04/2017,64.3928
06/04/2017,64.9791
05/04/2017,65.0438
03/04/2017,64.9103
31/03/2017,64.8386
30/03/2017,64.9325
29/03/2017,64.9552
27/03/2017,65.0892
24/03/2017,65.4581
23/03/2017,65.4220
22/03/2017,65.4881
21/03/2017,65.3117
20/03/2017,65.3827
17/03/2017,65.5411
16/03/2017,65.3836
15/03/2017,65.5146
14/03/2017,66.1800
10/03/2017,66.6880
09/03/2017,66.7707
08/03/2017,66.6362
07/03/2017,66.6347
06/03/2017,66.7559
03/03/2017,66.8354
02/03/2017,66.7433
01/03/2017,66.8482
28/02/2017,66.7375
27/02/2017,66.7249
23/02/2017,66.8351
22/02/2017,66.9644
20/02/2017,66.9771
17/02/2017,67.0467
16/02/2017,66.9468
15/02/2017,66.9193
14/02/2017,66.9439
13/02/2017,66.9663
10/02/2017,66.9367
09/02/2017,67.0123
08/02/2017,67.3058
07/02/2017,67.3692
06/02/2017,67.1958
03/02/2017,67.3825
02/02/2017,67.4480
01/02/2017,67.6458
31/01/2017,67.8125
30/01/2017,68.0426
27/01/2017,68.2043
25/01/2017,68.1556
